amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
,spent,00/02134/S106/1,00/02134/S106/1/T1,,2020-12-10,local-authority-eng:NTY,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NTY/00-02134-S106-1-T1
,allocated,00/02134/S106/1,00/02134/S106/1/T2,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/00-02134-S106-1-T2
,allocated,02/03264/S106/1,02/03264/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/02-03264-S106-1-T1
,allocated,06/00246/S106/13,06/00246/S106/13/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/06-00246-S106-13-T1
,allocated,06/01520/S106/1,06/01520/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/06-01520-S106-1-T1
,allocated,07/03648/S106/3,07/03648/S106/3/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/07-03648-S106-3-T1
,allocated,08/00818/S106/2,08/00818/S106/2/T1,2019-01-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/08-00818-S106-2-T1
3938,spent,08/00818/S106/2,08/00818/S106/2/T2,,2020-12-10,local-authority-eng:NTY,2020-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/08-00818-S106-2-T2
,allocated,09/01790/S106/1,09/01790/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/09-01790-S106-1-T1
,allocated,10/00793/S106/3,10/00793/S106/3/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/10-00793-S106-3-T1
,allocated,10/00793/S106/4,10/00793/S106/4/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/10-00793-S106-4-T1
,allocated,20/01140/S106/6,20/01140/S106/6/T1,,2020-12-12,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/20-01140-S106-6-T1
,allocated,20/01140/S106/5,20/01140/S106/5/T1,,2020-12-13,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/20-01140-S106-5-T1
,allocated,10/02253/S106/3,10/02253/S106/3/T1,2019-01-01,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/10-02253-S106-3-T1
5E+3,spent,10/02253/S106/3,10/02253/S106/3/T2,,2020-12-10,local-authority-eng:NTY,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/10-02253-S106-3-T2
,spent,11/00170/S106/1,11/00170/S106/1/T1,,2020-12-10,local-authority-eng:NTY,2019-11-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00170-S106-1-T1
,allocated,11/00170/S106/1,11/00170/S106/1/T2,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00170-S106-1-T2
,allocated,11/00170/S106/2,11/00170/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00170-S106-2-T1
,allocated,11/00390/S106/1,11/00390/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/11-00390-S106-1-T1
