amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
122700.5,secured,03/2163/14/O-CON1,1,,2015-11-11,2015-11-11,,
79345.73,secured,03/2163/14/O-CON2,2,,2015-11-11,2015-11-11,,
103029.56,received,04/1129/15/F-CON1,3,,2017-10-18,2017-10-18,,
66073.36,secured,0549/17/OPA-CON1,4,,2017-12-18,2017-12-18,,
34712.42,received,0825/18-CON1,5,,2019-01-11,2019-01-11,,
20222.22,received,1372/16/ful-CON1,6,,2017-03-21,2017-03-21,,
1.76E+5,received,2208/16/FUL-CON1,7,,2017-12-11,2017-12-11,,
120413,received,2208/16/FUL-CON2,8,,2017-12-11,2017-12-11,,
299090.91,received,27_57/1347/14/F-CON1,9,2020-03-31,2016-06-21,2016-06-21,,
239272.73,received,27_57/1347/14/F-CON2,10,2020-03-31,2016-06-21,2016-06-21,,
196373.22,received,35/0059/15/F-CON1,11,,2015-12-01,2015-12-01,,
32226.74,received,41/1915/13/F-CON1,12,,2014-01-08,2014-01-08,,
20581.78,received,41/1915/13/F-CON2,13,,2014-01-08,2014-01-08,,
5869.01,received,41/1915/13/F-CON3,14,,2014-01-08,2014-01-08,,
1.9E+4,received,4140/16/FUL-CON1,15,,2013-07-04,2013-07-04,,
1.096E+5,received,58/1352/12/F-CON1,16,,2016-07-04,2016-07-04,,
27388.97,secured,1391/18/FUL-CON1,17,,2018-11-15,2018-11-15,,
25309.87,secured,1391/18/FUL-CON2,18,,2018-11-15,2018-11-15,,
13337.58,secured,1884/18/FUL -CON1,19,,2018-11-16,2018-11-16,,
8518.12,secured,1884/18/FUL-CON2,20,,2018-11-16,2018-11-16,,
-38690.5,received,0825/18-CON1,21,,2019-01-11,2019-01-11,,
-6.5E+2,received,9/49/1020/98/1-CON1,22,,2014-01-08,2014-01-08,,
-9085.42,received,07/2022/12/F-CON1,23,,2013-10-17,2013-10-17,,
-3534,received,07/2022/12/F-CON2,24,,2013-10-17,2013-10-17,,
-1466,received,51/1437/14/F-CON1,25,,2017-03-21,2017-03-21,,
-61102.62,received,41/1915/13/F-CON1,26,,2014-01-08,2014-01-08,,
-33786,received,53/1706/07/F-CON1,27,,2007-08-13,2007-08-13,,
-29453.43,received,14/1744/13/F-CON1,28,,2014-05-06,2014-05-06,,
-20838,received,14/1744/13/F-CON2,29,,2014-05-06,2014-05-06,,
-7323.07,received,41/3063/13/F-CON1,30,,2014-05-13,2014-05-13,,
-51893,received,35/0059/15/F-CON1,31,,2015-12-01,2015-12-01,,
-48436.6,spent,0354/14-CON1,32,2020-03-31,2014-11-26,2014-11-26,,
-487349.65,spent,27_57/1347/14/F-CON2,33,2020-03-31,2016-06-21,2016-06-21,,
-4E+4,received,27/1859/15/F-CON1,34,,2016-11-29,2016-11-29,,
-31003.3,received,07/1196/15/F-CON1,35,,2016-06-17,2016-06-17,,
-2488.5,received,2266/17/FUL-CON1,36,,2018-01-29,2018-01-29,,
-9557.38,received,0362/16/FUL-CON1,37,2020-03-31,2016-12-07,2016-12-07,,
-1011.11,received,1372/16/ful-CON1,38,,2017-03-21,2017-03-21,,
-8.8E+3,received,2208/16/FUL-CON1,39,,2017-12-11,2017-12-11,,
-73873.15,received,2208/16/FUL-CON2,40,,2017-12-11,2017-12-11,,
-47069.33,secured,03/2163/14/O-CON1,41,,2015-11-11,2015-11-11,,
-6732.29,secured,03/2163/14/O-CON2,42,,2015-11-11,2015-11-11,,
-3303.67,secured,0549/17/OPA-CON1,43,,2017-12-18,2017-12-18,,
-9.5E+2,received,4140/16/FUL-CON1,44,,2013-07-04,2013-07-04,,
-666.88,secured,1884/18/FUL -CON1,45,,2018-11-16,2018-11-16,,
-425.91,secured,1884/18/FUL-CON2,46,,2018-11-16,2018-11-16,,
-8.8E+4,received,21/1425/12/F-CON1,47,,2012-11-23,2012-11-23,,
