amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
5E+2,secured,19/01278/FU4-MON,19/01278/FU4-MON-TRANS1,,2020-11-05,2019-12-10,,
5E+2,received,19/01278/FU4-MON,19/01278/FU4-MON-TRANS2,,2020-11-05,2019-12-10,,
5E+2,allocated,19/01278/FU4-MON,19/01278/FU4-MON-TRANS3,,2020-11-05,2019-12-10,,
192.75,spent,19/01278/FU4-MON,19/01278/FU4-MON-TRANS4,,2020-12-09,2020-03-31,,
77714.8,secured,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS1,,2020-11-05,2014-07-24,,
77714.8,received,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS2,,2020-11-05,2015-07-16,,
77714.8,allocated,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS3,,2020-11-05,2015-07-16,,
77714.8,spent,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-TW-TRANS4,,2020-11-05,2016-03-31,,
40285.2,secured,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS1,,2020-11-05,2014-07-24,,
40285.2,received,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS2,,2020-11-05,2015-07-16,,
40285.2,allocated,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS3,,2020-11-05,2015-07-16,,
40285.2,spent,06/02209/FUL-S2.2.1.1,06/02209/FUL-S2.2.1.1-P-TRANS4,,2020-11-05,2016-03-31,,
77714.8,secured,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS1,,2020-11-05,2016-08-26,,
77714.8,received,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS2,,2020-11-05,2017-04-07,,
77714.8,allocated,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS3,,2020-11-05,2017-04-07,,
77714.8,spent,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-TW-TRANS4,,2020-11-05,2018-03-31,,
40285.2,secured,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS1,,2020-11-05,2016-08-26,,
40285.2,received,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS2,,2020-11-05,2017-04-04,,
40285.2,allocated,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS3,,2020-11-05,2020-04-04,,
40285.2,spent,06/02209/FUL-S2.2.1.2,06/02209/FUL-S2.2.1.2-P-TRANS4,,2020-11-05,2018-03-31,,
95772.6,secured,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS1,,2020-11-05,2018-04-26,,
95772.6,received,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS2,,2020-11-05,2018-01-09,,
95772.6,allocated,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS3,,2020-11-05,2018-01-09,,
95772.6,spent,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-TW-TRANS4,,2020-11-05,2018-03-31,,
49645.86,secured,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS1,,2020-11-05,2018-04-26,,
49645.86,received,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS2,,2020-11-05,2017-10-03,,
49645.86,allocated,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS3,,2020-11-05,2017-10-03,,
49645.86,spent,06/02209/FUL-S2.2.1.3,06/02209/FUL-S2.2.1.3-P-TRANS4,,2020-11-05,2018-03-31,,
49395,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-TW-TRANS1,,2020-11-05,2014-07-24,,
49395,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-TW-TRANS2,,2020-11-05,2015-07-16,,
49395,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-TW-TRANS3,,2020-11-05,2015-07-16,,
25605,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-P-TRANS1,,2020-11-05,2014-07-24,,
25605,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-P-TRANS2,,2020-11-05,2015-07-16,,
25605,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-P-TRANS3,,2020-11-05,2015-07-16,,
14319.61,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-TW-TRANS1,,2020-11-05,2014-07-24,,
14319.61,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-TW-TRANS2,,2020-11-05,2015-07-16,,
14319.61,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-TW-TRANS3,,2020-11-05,2015-07-16,,
7422.89,secured,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-P-TRANS1,,2020-11-05,2014-07-24,,
7422.89,received,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-P-TRANS2,,2020-11-05,2015-07-16,,
7422.89,allocated,06/02209/FUL-S2.3.1.1,06/02209/FUL-S2.3.1.1-INT-P-TRANS3,,2020-11-05,2015-07-16,,
49395,secured,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-TW-TRANS1,,2020-11-05,2016-08-26,,
49395,received,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-TW-TRANS2,,2020-11-05,2017-04-07,,
49395,allocated,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-TW-TRANS3,,2020-11-05,2017-04-07,,
25605,secured,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-P-TRANS1,,2020-11-05,2016-08-26,,
25605,received,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-P-TRANS2,,2020-11-05,2017-04-04,,
25605,allocated,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-P-TRANS3,,2020-11-05,2017-04-04,,
9034.6,secured,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-INT-TW-TRANS1,,2020-11-05,2016-08-26,,
9034.6,received,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-INT-TW-TRANS2,,2020-11-05,2017-04-07,,
9034.6,allocated,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-INT-TW-TRANS3,,2020-11-05,2017-04-07,,
4683.29,secured,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-INT-P-TRANS1,,2020-11-05,2016-08-26,,
4683.29,received,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-INT-P-TRANS2,,2020-11-05,2017-04-04,,
4683.29,allocated,06/02209/FUL-S2.3.1.2,06/02209/FUL-S2.3.1.2-INT-P-TRANS3,,2020-11-05,2017-04-04,,
61330.2,secured,06/02209/FUL-S2.3.1.3,06/02209/FUL-S2.3.1.3-TW-TRANS1,,2020-11-05,2018-04-26,,
61330.2,received,06/02209/FUL-S2.3.1.3,06/02209/FUL-S2.3.1.3-TW-TRANS2,,2020-11-05,2018-01-09,,
61330.2,allocated,06/02209/FUL-S2.3.1.3,06/02209/FUL-S2.3.1.3-TW-TRANS3,,2020-11-05,2018-01-09,,
31792.14,secured,06/02209/FUL-S2.3.1.3,06/02209/FUL-S2.3.1.3-P-TRANS1,,2020-11-05,2018-04-26,,
31792.14,received,06/02209/FUL-S2.3.1.3,06/02209/FUL-S2.3.1.3-P-TRANS2,,2020-11-05,2017-10-03,,
31792.14,allocated,06/02209/FUL-S2.3.1.3,06/02209/FUL-S2.3.1.3-P-TRANS3,,2020-11-05,2017-10-03,,
,secured,06/02209/FUL-S2.4.1,06/02209/FUL-S2.4.1-TRANS1,,2020-11-05,2016-06-26,1,
,secured,06/02209/FUL-S2.5.1,06/02209/FUL-S2.5.1-TRANS1,,2020-11-05,2015-12-03,1,
5.5E+4,secured,07/05523/MID-7.2,07/05523/MID-7.2-TRANS1,,2020-11-05,2016-04-20,,
5.5E+4,received,07/05523/MID-7.2,07/05523/MID-7.2-TRANS2,,2020-11-05,2016-04-20,,
5.5E+4,allocated,07/05523/MID-7.2,07/05523/MID-7.2-TRANS3,,2020-11-05,2016-04-20,,
5.5E+4,spent,07/05523/MID-7.2,07/05523/MID-7.2-TRANS4,,2020-11-05,2018-03-31,,
5.5E+4,secured,07/05523/MID-7.1.1,07/05523/MID-7.1.1-TRANS1,,2020-11-05,2016-10-31,,
5.5E+4,received,07/05523/MID-7.1.1,07/05523/MID-7.1.1-TRANS2,,2020-11-05,2018-09-10,,
5.5E+4,allocated,07/05523/MID-7.1.1,07/05523/MID-7.1.1-TRANS3,,2020-11-05,2018-09-10,,
5.5E+4,secured,07/05523/MID-7.1.2,07/05523/MID-7.1.2-TRANS1,,2020-11-05,2017-10-31,,
5.5E+4,received,07/05523/MID-7.1.2,07/05523/MID-7.1.2-TRANS2,,2020-11-05,2018-09-10,,
5.5E+4,allocated,07/05523/MID-7.1.2,07/05523/MID-7.1.2-TRANS3,,2020-11-05,2018-09-10,,
5.5E+4,secured,07/05523/MID-7.1.3,07/05523/MID-7.1.3-TRANS1,,2020-11-05,2018-10-31,,
5.5E+4,received,07/05523/MID-7.1.3,07/05523/MID-7.1.3-TRANS2,,2020-11-05,2018-11-28,,
5.5E+4,allocated,07/05523/MID-7.1.3,07/05523/MID-7.1.3-TRANS3,,2020-11-05,2018-11-28,,
5.5E+4,secured,07/05523/MID-7.1.4,07/05523/MID-7.1.4-TRANS1,,2020-11-05,2019-10-31,,
5.5E+4,received,07/05523/MID-7.1.4,07/05523/MID-7.1.4-TRANS2,,2020-11-05,2020-01-02,,
5.5E+4,allocated,07/05523/MID-7.1.4,07/05523/MID-7.1.4-TRANS3,,2020-11-05,2020-01-02,,
8E+1,secured,19/01325/FUL-MON,19/01325/FUL-MON-TRANS1,,2020-11-05,2020-01-27,,
8E+1,received,19/01325/FUL-MON,19/01325/FUL-MON-TRANS2,,2020-11-05,2020-01-29,,
8E+1,allocated,19/01325/FUL-MON,19/01325/FUL-MON-TRANS3,,2020-11-05,2020-01-29,,
30.84,spent,19/01325/FUL-MON,19/01325/FUL-MON-TRANS4,,2020-12-09,2020-03-31,,
5E+2,secured,19/00628/FUL-MON,19/00628/FUL-MON-TRANS1,,2020-11-05,2019-11-12,,
5E+2,received,19/00628/FUL-MON,19/00628/FUL-MON-TRANS2,,2020-11-05,2020-01-10,,
5E+2,allocated,19/00628/FUL-MON,19/00628/FUL-MON-TRANS3,,2020-11-05,2020-01-10,,
192.75,spent,19/00628/FUL-MON,19/00628/FUL-MON-TRANS4,,2020-12-09,2020-03-31,,
3E+3,secured,18/01276/FUL-MON,18/01276/FUL-MON-TRANS1,,2020-11-10,2019-12-18,,
3E+3,received,18/01276/FUL-MON,18/01276/FUL-MON-TRANS2,,2020-11-10,2020-02-25,,
3E+3,allocated,18/01276/FUL-MON,18/01276/FUL-MON-TRANS3,,2020-11-10,2020-02-25,,
1156.5,spent,18/01276/FUL-MON,18/01276/FUL-MON-TRANS4,,2020-12-09,2020-03-31,,
5E+2,secured,18/02239/FUL-MON,18/02239/FUL-MON-TRANS1,,2020-11-10,2020-01-16,,
5E+2,received,18/02239/FUL-MON,18/02239/FUL-MON-TRANS2,,2020-11-10,2020-02-22,,
5E+2,allocated,18/02239/FUL-MON,18/02239/FUL-MON-TRANS3,,2020-11-10,2020-02-22,,
192.75,spent,18/02239/FUL-MON,18/02239/FUL-MON-TRANS4,,2020-12-09,2020-03-31,,
57067.2,secured,11/03181/OUT-S3.1,11/03181/OUT-S3.1-TRANS1,,2020-11-10,2014-07-06,,
57067.2,received,11/03181/OUT-S3.1,11/03181/OUT-S3.1-TRANS2,,2020-11-10,2015-02-19,,
57067.2,allocated,11/03181/OUT-S3.1,11/03181/OUT-S3.1-TRANS3,2020-01-13,2020-11-10,2015-02-19,,
57067.2,secured,11/03181/OUT-S3.2,11/03181/OUT-S3.2-TRANS1,,2020-11-10,2015-07-26,,
57067.2,received,11/03181/OUT-S3.2,11/03181/OUT-S3.2-TRANS2,,2020-11-10,2017-04-06,,
57067.2,allocated,11/03181/OUT-S3.2,11/03181/OUT-S3.2-TRANS3,2020-01-13,2020-11-10,2017-04-06,,
18724,secured,11/03181/OUT-S3.2,11/03181/OUT-S3.2-INT-TRANS1,,2020-12-01,2015-07-26,,
18724,received,11/03181/OUT-S3.2,11/03181/OUT-S3.2-INT-TRANS2,,2020-12-01,2017-04-06,,
18724,allocated,11/03181/OUT-S3.2,11/03181/OUT-S3.2-INT-TRANS3,2020-01-13,2020-12-01,2017-04-06,,
14267,secured,11/03181/OUT-S3.3,11/03181/OUT-S3.3-TRANS1,,2020-12-01,2015-11-22,,
14267,received,11/03181/OUT-S3.3,11/03181/OUT-S3.3-TRANS2,,2020-12-01,2017-04-06,,
14267,allocated,11/03181/OUT-S3.3,11/03181/OUT-S3.3-TRANS3,2020-01-13,2020-12-01,2017-04-06,,
31387,secured,11/03181/OUT-S3.4,11/03181/OUT-S3.4-TRANS1,,2020-12-01,2015-11-22,,
31387,received,11/03181/OUT-S3.4,11/03181/OUT-S3.4-TRANS2,,2020-12-01,2017-04-06,,
31387,allocated,11/03181/OUT-S3.4,11/03181/OUT-S3.4-TRANS3,2020-01-13,2020-12-01,2017-04-06,,
1.402E+4,secured,11/03181/OUT-S4.1,11/03181/OUT-S4.1-TRANS1,,2020-12-01,2014-02-26,,
1.402E+4,received,11/03181/OUT-S4.1,11/03181/OUT-S4.1-TRANS2,,2020-12-01,2015-02-19,,
1.402E+4,allocated,11/03181/OUT-S4.1,11/03181/OUT-S4.1-TRANS3,,2020-12-01,2015-02-19,,
3074,spent,11/03181/OUT-S4.1,11/03181/OUT-S4.1-TRANS4,,2020-12-01,2019-03-31,,
10946,spent,11/03181/OUT-S4.2,11/03181/OUT-S4.1-TRANS5,,2020-12-01,2020-03-31,,
1.402E+4,secured,11/03181/OUT-S4.2,11/03181/OUT-S4.2-TRANS1,,2020-12-01,2014-07-06,,
1.402E+4,received,11/03181/OUT-S4.2,11/03181/OUT-S4.2-TRANS2,,2020-12-01,2015-02-19,,
1.402E+4,allocated,11/03181/OUT-S4.2,11/03181/OUT-S4.2-TRANS3,,2020-12-01,2015-02-19,,
1.402E+4,spent,11/03181/OUT-S4.2,11/03181/OUT-S4.2-TRANS4,,2020-12-01,2020-03-31,,
1.402E+4,secured,11/03181/OUT-S4.3,11/03181/OUT-S4.3-TRANS1,,2020-12-01,2015-02-16,,
1.402E+4,received,11/03181/OUT-S4.3,11/03181/OUT-S4.3-TRANS2,,2020-12-01,2016-03-15,,
1.402E+4,allocated,11/03181/OUT-S4.3,11/03181/OUT-S4.3-TRANS3,,2020-12-01,2016-03-15,,
10697,spent,11/03181/OUT-S4.3,11/03181/OUT-S4.3-TRANS4,,2020-12-01,2016-03-31,,
1.402E+4,secured,11/03181/OUT-S4.4,11/03181/OUT-S4.4-TRANS1,,2020-12-01,2015-07-26,,
1.402E+4,received,11/03181/OUT-S4.4,11/03181/OUT-S4.4-TRANS2,,2020-12-01,2017-04-06,,
1.402E+4,allocated,11/03181/OUT-S4.4,11/03181/OUT-S4.4-TRANS3,,2020-12-01,2017-04-06,,
7.01E+3,secured,11/03181/OUT-S4.5,11/03181/OUT-S4.5-TRANS1,,2020-12-01,2015-11-22,,
7.01E+3,received,11/03181/OUT-S4.5,11/03181/OUT-S4.5-TRANS2,,2020-12-01,2017-04-06,,
7.01E+3,allocated,11/03181/OUT-S4.5,11/03181/OUT-S4.5-TRANS3,,2020-12-01,2017-04-06,,
15422,secured,11/03181/OUT-S4.6,11/03181/OUT-S4.6-TRANS1,,2020-12-01,2015-11-22,,
15422,received,11/03181/OUT-S4.6,11/03181/OUT-S4.6-TRANS2,,2020-12-01,2017-04-06,,
15422,allocated,11/03181/OUT-S4.6,11/03181/OUT-S4.6-TRANS3,,2020-12-01,2017-04-06,,
6644,secured,11/03181/OUT-S4.7,11/03181/OUT-S4.6-INT-TRANS1,,2020-12-01,2015-11-22,,
6644,received,11/03181/OUT-S4.8,11/03181/OUT-S4.6-INT-TRANS2,,2020-12-01,2017-04-06,,
6644,allocated,11/03181/OUT-S4.9,11/03181/OUT-S4.6-INT-TRANS3,,2020-12-01,2017-04-06,,
6.9E+2,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS1,,2020-11-10,2019-06-30,,
2729.21,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS2,,2020-11-10,2019-09-30,,
12179.86,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS3,,2020-11-10,2019-12-31,,
41463.13,spent,11/03181/DOV-S3.1,11/03181/DOV-S3.1-TRANS4,,2020-11-10,2020-03-31,,
57067.2,spent,11/03181/DOV-S3.2,11/03181/DOV-S3.2-TRANS1,,2020-11-10,2020-03-31,,
26728.81,spent,11/03181/DOV-S3.3,11/03181/DOV-S3.3-TRANS1,,2020-11-10,2020-03-31,,
121728.14,secured,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS1,,2020-12-01,2013-07-01,,
121728.1,received,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS2,,2020-12-01,2013-07-01,,
121728.1,allocated,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS3,,2020-12-01,2013-07-01,,
121728.1,spent,10/01549/OUT-S1.1a,10/01549/OUT-S1.1a-TRANS4,,2020-12-01,2020-03-31,,
149922.87,secured,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS1,,2020-12-01,2017-04-21,,
149922.9,received,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS2,,2020-12-01,2017-04-21,,
149922.9,allocated,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS3,,2020-12-01,2017-04-21,,
149922.9,spent,10/01549/OUT-S1.1b,10/01549/OUT-S1.1b-TRANS4,,2020-12-01,2020-03-31,,
32769.81,secured,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS1,,2020-12-01,2017-06-27,,
32769.81,received,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS2,,2020-12-01,2017-06-27,,
32769.81,allocated,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS3,,2020-12-01,2017-06-27,,
32769.81,spent,10/01549/OUT-S1.1c,10/01549/OUT-S1.1c-TRANS4,,2020-12-01,2020-03-31,,
,secured,10/01549/OUT-S2.,10/01549/OUT-S2.,2011-06-06,2020-12-01,2011-01-27,10,
,secured,11/00982/REM-S1.2c,11/00982/REM-S1.2c,,2020-12-01,2011-06-06,8,
