amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
1E+4,secured,S106-103-C1,S106-103-C1-T1,,2020-12-22,2005-09-02,,
1E+4,received,S106-103-C1,S106-103-C1-T2,,2020-12-22,2012-01-06,,
1E+4,spent,S106-103-C1,S106-103-C1-T3,,2020-12-22,2013-03-01,,
57366,secured,S106-103-C2,S106-103-C2-T1,,2020-12-22,2005-09-02,,
57366,received,S106-103-C2,S106-103-C2-T2,,2020-12-22,2012-01-06,,
36288,allocated,S106-103-C2,S106-103-C2-T3,,2020-12-22,,,
1.75E+5,secured,S106-107-C1,S106-107-C1-T1,,2020-12-22,2005-12-14,,
1.6E+4,secured,S106-110-C1,S106-110-C1-T1,,2020-12-22,2006-06-23,,
53734.2,secured,S106-110-C2,S106-110-C2-T1,,2020-12-22,2006-06-23,,
431815.8,secured,S106-139-C1,S106-139-C1-T1,,2020-12-22,2009-11-23,,
5.9E+5,secured,S106-139-C2,S106-139-C2-T1,,2020-12-22,2009-11-23,,
14693.75,secured,S106-149-C1,S106-149-C1-T1,,2020-12-22,2000-05-15,,
1E+3,secured,S106-150-C1,S106-150-C1-T1,,2020-12-22,2010-11-02,,
127986.03,secured,S106-152-C1,S106-152-C1-T1,,2020-12-22,2010-12-06,,
42662.01,received,S106-152-C1,S106-152-C1-T2,,2020-12-22,2013-07-01,,
85234,received,S106-152-C1,S106-152-C1-T3,,2020-12-22,2015-09-01,,
13065,secured,S106-152-C2,S106-152-C2-T1,,2020-12-22,2010-12-06,,
13065,received,S106-152-C2,S106-152-C2-T2,,2020-12-22,2013-07-01,,
3217.52,spent,S106-152-C2,S106-152-C2-T3,,2020-12-22,2020-03-01,,
192993.37,secured,S106-153-C1,S106-153-C1-T1,,2020-12-22,2010-12-09,,
25353,secured,S106-153-C2,S106-153-C2-T1,,2020-12-22,2010-12-09,,
24768.6,secured,S106-154-C1,S106-154-C1-T1,,2020-12-22,2010-12-21,,
2.8E+3,received,S106-154-C1,S106-154-C1-T2,,2020-12-22,2013-03-01,,
24768.6,received,S106-154-C1,S106-154-C1-T3,,2020-12-22,2017-01-01,,
27568.6,spent,S106-154-C1,S106-154-C1-T4,,2020-12-22,2020-06-01,,
1.5E+5,secured,S106-155-C1,S106-155-C1-T1,,2020-12-22,2011-02-02,,
4.5E+5,secured,S106-155-C2,S106-155-C2-T1,,2020-12-22,2011-02-02,,
154027.35,received,S106-162-C1,S106-162-C1-T1,,2020-12-22,2015-03-20,,
510092.82,received,S106-162-C1,S106-162-C1-T2,,2020-12-22,2016-05-19,,
616258.56,received,S106-162-C1,S106-162-C1-T3,,2020-12-22,2017-05-01,,
757884.26,received,S106-162-C1,S106-162-C1-T4,,2020-12-22,2018-05-01,,
703306.87,received,S106-162-C1,S106-162-C1-T5,,2020-12-22,2019-05-01,,
730170.9,received,S106-162-C1,S106-162-C1-T6,,2020-12-22,2019-05-01,,
2231240.04,spent,S106-162-C1,S106-162-C1-T7,,2020-12-22,2020-05-02,,
1240500.72,allocated,S106-162-C1,S106-162-C1-T8,,2020-12-22,2020-05-02,,
4.654E+4,secured,S106-165-C1,S106-165-C1-T1,,2020-12-22,2012-06-15,,
21977.4,secured,S106-172-C1,S106-172-C1-T1,,2020-12-22,2012-06-15,,
21977.4,received,S106-172-C1,S106-172-C1-T2,,2020-12-22,2012-06-15,,
