amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
7.3E+4,Spent,B/15/0196-da-OSP,B/15/0196-da-OSP-Tr3,,2020-12-16,2020-10-11,,
4E+3,Spent,B/13/0037-da1-OSP,B/13/0037-da1-OSP-Tr3,,2020-12-16,2019-04-01,,
,Spent,B/12/0171-da-AFH,B/12/0171-da-AFH-Tr3,,2020-12-16,2019-12-31,3,
,Spent,B/14/0165-da-AFH,B/14/0165-da-AFH-Tr5,,2020-12-16,2019-08-31,2,
,Spent,B/14/0165-da-AFH,B/14/0165-da-AFH-Tr6,,2020-12-16,2019-10-30,2,
,Spent,B/15/0391-da-AFH,B/15/0391-da-AFH-Tr1,,2020-12-16,2020-03-31,4,
,Spent,B/16/0106-da-AFH,B/16/0106-da-AFH-Tr1,,2020-12-16,2020-03-31,8,
,Spent,B/17/0315-da-AFH,B/17/0315-da-AFH-Tr1,,2020-12-16,2020-03-31,7,
,Spent,B/17/0316-da-AFH,B/17/0316-da-AFH-Tr1,,2020-12-16,2020-03-31,7,
,Spent,B/18/0395-da-AFH,B/18/0395-da-AFH-Tr1,,2020-12-16,2020-03-31,30,
28877.71,Received,B/16/0298-da-EDU,B/16/0298-da-EDU-Tr1,,2020-12-16,2020-03-15,,
