amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
,,,,,2019-12-01,2019-04-04,,
,,,,,2019-12-01,2019-04-12,,
,,,,,2019-12-01,2019-05-10,,
,,,,,2019-12-01,2019-05-20,,
,,,,,2019-12-01,2019-06-11,,
,,,,2020-02-13,2019-12-01,2019-06-11,,
,,,,,2019-12-01,2019-06-19,,
,,,,,2019-12-01,2019-06-26,,
,,,,,2019-12-01,2019-07-12,,
,,,,,2019-12-01,2019-07-26,,
,,,,,2019-12-01,2019-09-30,,
,,,,,2019-12-01,2019-09-30,,
,,,,,2019-12-01,2019-10-18,,
,,,,,2019-12-01,2019-10-23,,
,,,,,2019-12-01,2019-10-28,,
,,,,,2019-12-01,2019-11-01,,
,,,,,2019-12-01,2019-11-04,,
,,,,,2019-12-01,2019-11-19,,
,,,,,2019-12-01,2019-11-19,,
,,,,,2019-12-01,2019-11-25,,
,,,,,2019-12-01,2019-11-25,,
,,,,,2019-12-01,2019-11-25,,
,,,,,2019-12-01,2019-12-19,,
,,,,,2020-02-18,2019-12-30,,
,,,,,2020-02-18,2020-01-14,,
,,,,,2020-02-18,2020-01-22,,
,,,,,2020-05-19,2020-01-23,,
,,,,,2020-02-18,2020-01-24,,
,,,,,2020-02-18,2020-02-07,,
,,,,,2020-02-18,2020-02-13,,
,,,,,2020-02-18,2020-02-14,,
,,,,,2020-02-25,2020-02-14,,
,,,,,2020-03-12,2020-03-02,,
,,,,,2020-03-27,2020-03-16,,
,,,,,2020-03-30,2020-03-26,,
